氢_质量百分数	H_Wt%	氢_原子百分数	H_Atomic%	氢_分布状态	H_Distribution
钋_质量百分数	Po_Wt%	钋_原子百分数	Po_Atomic%	钋_分布状态	Po_Distribution
砹_质量百分数	At_Wt%	砹_原子百分数	At_Atomic%	砹_分布状态	At_Distribution
氡_质量百分数	Rn_Wt%	氡_原子百分数	Rn_Atomic%	氡_分布状态	Rn_Distribution
钫_质量百分数	Fr_Wt%	钫_原子百分数	Fr_Atomic%	钫_分布状态	Fr_Distribution
镭_质量百分数	Ra_Wt%	镭_原子百分数	Ra_Atomic%	镭_分布状态	Ra_Distribution
锕_质量百分数	Ac_Wt%	锕_原子百分数	Ac_Atomic%	锕_分布状态	Ac_Distribution
钍_质量百分数	Th_Wt%	钍_原子百分数	Th_Atomic%	钍_分布状态	Th_Distribution
镤_质量百分数	Pa_Wt%	镤_原子百分数	Pa_Atomic%	镤_分布状态	Pa_Distribution
铀_质量百分数	U_Wt%	铀_原子百分数	U_Atomic%	铀_分布状态	U_Distribution
镎_质量百分数	Np_Wt%	镎_原子百分数	Np_Atomic%	镎_分布状态	Np_Distribution
钚_质量百分数	Pu_Wt%	钚_原子百分数	Pu_Atomic%	钚_分布状态	Pu_Distribution
镅_质量百分数	Am_Wt%	镅_原子百分数	Am_Atomic%	镅_分布状态	Am_Distribution
锔_质量百分数	Cm_Wt%	锔_原子百分数	Cm_Atomic%	锔_分布状态	Cm_Distribution
锫_质量百分数	Bk_Wt%	锫_原子百分数	Bk_Atomic%	锫_分布状态	Bk_Distribution
锎_质量百分数	Cf_Wt%	锎_原子百分数	Cf_Atomic%	锎_分布状态	Cf_Distribution
锿_质量百分数	Es_Wt%	锿_原子百分数	Es_Atomic%	锿_分布状态	Es_Distribution
镄_质量百分数	Fm_Wt%	镄_原子百分数	Fm_Atomic%	镄_分布状态	Fm_Distribution
钔_质量百分数	Md_Wt%	钔_原子百分数	Md_Atomic%	钔_分布状态	Md_Distribution
锘_质量百分数	No_Wt%	锘_原子百分数	No_Atomic%	锘_分布状态	No_Distribution
铹_质量百分数	Lw_Wt%	铹_原子百分数	Lw_Atomic%	铹_分布状态	Lw_Distribution
𬬻_质量百分数	Rf_Wt%	𬬻_原子百分数	Rf_Atomic%	𬬻_分布状态	Rf_Distribution
𬭊_质量百分数	Db_Wt%	𬭊_原子百分数	Db_Atomic%	𬭊_分布状态	Db_Distribution
𬭳_质量百分数	Sg_Wt%	𬭳_原子百分数	Sg_Atomic%	𬭳_分布状态	Sg_Distribution
𬭛_质量百分数	Bh_Wt%	𬭛_原子百分数	Bh_Atomic%	𬭛_分布状态	Bh_Distribution
𬭶_质量百分数	Hs_Wt%	𬭶_原子百分数	Hs_Atomic%	𬭶_分布状态	Hs_Distribution
鿏_质量百分数	Mt_Wt%	鿏_原子百分数	Mt_Atomic%	鿏_分布状态	Mt_Distribution
𫟼_质量百分数	Ds_Wt%	𫟼_原子百分数	Ds_Atomic%	𫟼_分布状态	Ds_Distribution
Rg_质量百分数	Rg_Wt%	Rg_原子百分数	Rg_Atomic%	Rg_分布状态	Rg_Distribution
uub_质量百分数	uub_Wt%	uub_原子百分数	uub_Atomic%	uub_分布状态	uub_Distribution
uut_质量百分数	uut_Wt%	uut_原子百分数	uut_Atomic%	uut_分布状态	uut_Distribution
uuq_质量百分数	uuq_Wt%	uuq_原子百分数	uuq_Atomic%	uuq_分布状态	uuq_Distribution
uup_质量百分数	uup_Wt%	uup_原子百分数	uup_Atomic%	uup_分布状态	uup_Distribution
uuh_质量百分数	uuh_Wt%	uuh_原子百分数	uuh_Atomic%	uuh_分布状态	uuh_Distribution
